No.,Initiative Title,Scope & Description
1a,Develop industry-specific packages and pitchbooks,"Build and distribute pitchbooks for the 4 prioritized verticals to help sales reps meet target sales, covering each vertical's customer needs, pain points, hooking messages, and differentiation vs. competitors
• Manufacturing, Smart Order, healthcare, public institutions"
1b,Renegotiate margin-dilutive contracts,"Restore profitability on margin-dilutive existing contracts, especially on other financial-institution accounts (e.g., ATM) with negative CLTV ('NICE' Case)
• Negotiated to uplift monthly fee by 11M total
• Demarketed 4,000 VAN contracts (28% of total 14K)"
1c,Raise monthly fees on existing customers and restructure new-customer contracts,"Improve SKS profitability through systematic price increases for existing customers and price increase levers for new customers
• (Existing cust.) Opt-out based price increase requests
• (New cust.) Enhancement of base RMR setting, multiplier application
• (New cust.) Charing standard pricing for ""currently free"" add-ons
• (New cust.) T&C duration extension to, Programmed price increases"
1d,"Discover high-CLTV, high-value white space opportunities across captive and non-captive markets","Identify and validate high-value growth opportunities in emerging and underserved market segments:
• Emerging verticals with strong growth potential (e.g., data centers)
• Demographic and societal trends creating new security needs (e.g., elderly care facilities)
• Across non captive & captive demand opportunities across the SK Group ecosystem"
1e,Set up a customer-centric product innovation and lifecycle management workflow,"Set up a customer-centric product innovation workflow that:
• Detects emerging operational/security risks in a timely, systematic manner and integrates market insights into new product development
• Enables customers to proactively address emerging risks ahead of competitors, creating a sustainable competitive advantage"
1f,Bundle cyber and security-adjacent services,"Bundle physical, cyber, and cyber-physical security with security-adjacent services into integrated enterprise packages
• Combine currently-siloed physical and cyber-physical security into unified enterprise packages
• Expand into untapped adjacencies (e.g., energy/utility monitoring, ESG/environmental compliance, occupancy/space analytics, EHS)"
1g,"Scale standardized, low-cost, self-install products","Scale standardized, low-cost, self-install (DIY) products for price-sensitive segments
• Standardize a low-cost product line without monitoring & dispatch for price-sensitive segments
• Replace rep-led design/installation with customer self-install
• Distribute through low-touch channels (online, retail, partners)"
1h,Develop advanced technology-driven offerings,"Advance high-value offerings from commoditized hardware to differentiated, tech-enabled solutions
• Shift high-value verticals from commoditized hardware to integrated solutions
• Embed advanced capabilities (AI analytics, predictive/preventive security, platform integration)"
2a,Define customer tiers with standard management playbooks by value,"Segment customer by CLTV and ARPU and deploy differentiated management scheme per tier to right-size effort to value
• [Tier A]: High-touch, hands-on management by regional strategic and branch sales reps, with regular review cadence
• [Tier B/C]: Centrally managed by dedicated CM team (see illustrative 2c), maximizing non-face-to-face and digital channels"
2b,Systemize proactive customer management,"Systemize proactive management for high-value accounts, to protect and grow the most valuable relationships
• Shift from reactive to proactive management
• Use early-warning signals (usage, payment, service, engagement) to flag at-risk and growth accounts before churn
• Drive account plans for upsell/cross-sell on high-value accounts"
